rg_id,title,first_release_date,release_title,release_date,release_country,primary_type,genre_type,year,decade,disambiguation,genre_refined
e1e06c82-8228-361e-ac25-5a69c6a79028,"Classical Music for People Who Hate Classical Music, Volume 3",2001,"Classical Music for People Who Hate Classical Music, Volume 3",2001,US,Album,Piano,2001.0,2000,,Unknown
e55cdbb0-e04a-3c90-9bee-534d8255f75e,Piano Concerto No. 3 / Solo Piano Works,2000,Piano Concerto No. 3 / Solo Piano Works,2000,US,Album,Piano,2000.0,2000,,Hybrid
0eaae045-96ce-4b97-966f-7a3849276f51,Classical Piano Collection,2005,Classical Piano Collection,2005,US,Album,Piano,2005.0,2000,,PianoSolo
b35dbc07-115b-44da-bcae-a4d0e3765ada,Classical Praise Piano,1991,Classical Praise Piano,1991,US,Album,Piano,1991.0,1990,,PianoSolo
3ade56fe-5bc3-3f33-bbbc-be2e64b67798,Works for Piano and Orchestra,1987,"Piano Concerto No. 1 / Music for Strings, Percussion, and Celesta",1987,US,Album,Piano,1987.0,1980,,Hybrid
5c713815-61a4-4e64-9231-9a7b09111654,Works for Piano and Orchestra,1990,Works for Piano and Orchestra,1990,US,Album,Piano,1990.0,1990,,Hybrid
3a92efb2-357a-4360-881f-5f474d363c2e,Symphonien no. 3 »Schottische« / no. 4 »Italienische«,1997-01-06,"Symphonien no. 3 ""Schottische"" / no. 4 ""Italienische""",1997-08-12,US,Album,Orchestra,1997.0,1990,,Unknown
87d37b47-4910-4568-b9d1-57f88a40068c,"The Complete Gershwin: Works for Orchestra, Piano & Orchestra",1974,All the Works for Orchestra & for Piano & Orchestra,1974,US,Album,Piano,1974.0,1970,,Hybrid
87d37b47-4910-4568-b9d1-57f88a40068c,"The Complete Gershwin: Works for Orchestra, Piano & Orchestra",1974,"The Complete Gershwin: Works for Orchestra, Piano & Orchestra",1990,US,Album,Piano,1990.0,1990,,Hybrid
35bef99f-8a03-3cf7-8a60-465a38793a05,Piano Music,1987,Piano Music,1987,US,Album,Piano,1987.0,1980,,PianoSolo
945c16aa-4149-3eb0-95ac-6857212277c5,"Piano Concerto No. 5 ""Emperor""",1986,"Piano Concerto No. 5 ""Emperor""",1986,US,Album,Piano,1986.0,1980,,Hybrid
baeb1ed0-27ba-4323-9258-1fb280d4b2b6,Works for Piano and Orchestra,1999,Works for Piano and Orchestra,1999,US,Album,Piano,1999.0,1990,,Hybrid
f4aef639-a56a-3ed3-b428-c76b6e48f4a8,"Piano Concertos No. 1, No. 2",1972,"Piano Concertos No. 1, No. 2",1972,US,Album,Piano,1972.0,1970,,PianoSolo
4b5821a8-50c8-3c47-9519-2e56ba2e0e65,Piano Transcriptions,1997,Piano Transcriptions,1997,US,Album,Piano,1997.0,1990,,PianoSolo
dcaaf613-cc50-47d7-a68d-784ea9536637,Piano Concertos 1 & 2,2008,Piano Concertos 1 & 2,2008,US,Album,Piano,2008.0,2000,,PianoSolo
9b7253f1-604c-3081-a5ab-9fed50270e1a,Complete Works for Piano and Orchestra,1990,Complete Works for Piano and Orchestra,1990,US,Album,Piano,1990.0,1990,,Hybrid
3dbd7511-2b34-35a0-b769-74acbb5c995f,Aporias: Requia for Piano & Orchestra,1998-09-15,Aporias: Requia for Piano & Orchestra,1998-09-15,US,Album,Piano,1998.0,1990,,Hybrid
0ee4fdc4-a3c4-4faf-899f-1d604c62885c,Piano Concerto / Variations for Orchestra,1992-12-08,Piano Concerto / Variations for Orchestra,1992-12-08,US,Album,Piano,1992.0,1990,,Hybrid
96d9880e-8508-3685-9c0c-4c5376eecb4d,Moonlight Classics: Romantic Piano and Orchestra,1989,Moonlight Classics: Romantic Piano and Orchestra,1989,US,Album,Piano,1989.0,1980,,Hybrid
aa28876c-c610-305e-a622-babb00c5c0ae,Piano Concertos Nos. 2 & 4,1986,Piano Concertos Nos. 2 & 4,1986,US,Album,Piano,1986.0,1980,,PianoSolo
fdab13da-a559-3cf7-8ae6-a6042b767188,Gershwin on Piano,1998,Gershwin on Piano,1998,US,Album,Piano,1998.0,1990,,PianoSolo
1f383114-9d08-36f6-b537-045f41e3081a,Four Piano Concerti,1982,Four Piano Concerti,1982,US,Album,Piano,1982.0,1980,,PianoSolo
213deccd-b171-45b8-a8aa-60a2bd54b914,Classical Piano: Piano Portraits,1999,Classical Piano: Piano Portraits,1999,US,Album,Piano,1999.0,1990,,PianoSolo
9ddcce97-320e-481a-9f58-a5f148d5aee0,Prometheus / Piano Concerto / Fantasy for piano and orchestra,1999-06-22,Prometheus / Piano Concerto / Fantasy for piano and orchestra,1999-06-22,US,Album,Piano,1999.0,1990,,Hybrid
263d3a19-ceb9-3b33-b2b5-11b08e2d5be7,Piano Concerti Nos. 1-4 Pasticci: Volume 1,1993,Piano Concerti Nos. 1-4 Pasticci: Volume 1,1993,US,Album,Piano,1993.0,1990,,PianoSolo
dc9d1c66-03ee-3b2f-b5cc-4b1d66fcb5e7,Pictures at an Exhibition,1994-09-20,Pictures at an Exhibition,1994-09-20,US,Album,Piano,1994.0,1990,,Unknown
1f7b38ce-77c9-3176-9176-51ba3677db18,Keyboard Concertos,1995,Keyboard Concertos,1995,US,Album,Piano,1995.0,1990,,Unknown
33752969-47bb-4c00-9188-3c067574a279,The Gershwin Album,1983,The Gershwin Album,1983,US,Album,Piano,1983.0,1980,,Unknown
449d849e-5ae4-4506-bd71-ca882d04232b,Fantasy for Piano and Orchestra / Rhapsody for Clarinet and Orchestra / Rhapsody for Saxophone and Orchestra,1973,Fantasy for Piano and Orchestra / Rhapsody for Clarinet and Orchestra / Rhapsody for Saxophone and Orchestra,1973,US,Album,Piano,1973.0,1970,,Hybrid
5ccab121-1bc7-4288-ac68-da03a34d04ab,The Complete Piano Concertos,2001,The Complete Piano Concertos,2006,US,Album,Piano,2006.0,2000,,PianoSolo
fa329ae4-96f2-3740-b7f0-8562083219ac,Piano Concertos nos. 1 and 2,2001-04-17,Piano Concertos nos. 1 and 2,2001-04-17,US,Album,Piano,2001.0,2000,,PianoSolo
5c118abf-d7ed-3d81-9498-906c8f059815,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,1991,Piano Concerto no. 2 / Rhapsody on a Theme of Paganini,1991,US,Album,Piano,1991.0,1990,,Hybrid
f0f4cc0d-45d0-3d68-a74e-51a2d3e755cb,Piano Concerto no. 3 / Prince Rostislav / Vocalise,1991,Piano Concerto no. 3 / Prince Rostislav / Vocalise,1991,US,Album,Piano,1991.0,1990,,Hybrid
d083683a-2c94-4292-a6cd-e54ddaebd2c9,The 5 Piano Concertos,1992-05-12,5 Piano Concertos,1992-05-12,US,Album,Piano,1992.0,1990,,PianoSolo
e5c3b705-184b-40c2-aa43-3115e95aaa5a,Classical Encores,1963,Classical Encores,1963,US,Album,Unknown,1963.0,1960,,Unknown
0f2389d9-eff3-38f2-a5aa-8f63e9353c01,Pachelbel's Greatest Hit: Canon in D,1991-02-15,Pachelbel's Greatest Hit,1997,US,Album,Orchestra,1997.0,1990,,Unknown
02bd2329-6944-34cc-9ff8-a39b3920bee8,Lifescapes: Classical Piano,2000,Lifescapes: Classical Piano,2000,US,Album,Piano,2000.0,2000,,PianoSolo
3a9ef807-37a4-444b-92e6-c090c2673f1b,Instrumental Moods: Sentimental Piano,2009,Sentimental Piano,2009,US,Album,Piano,2009.0,2000,,PianoSolo
3a9ef807-37a4-444b-92e6-c090c2673f1b,Instrumental Moods: Sentimental Piano,2009,Instrumental Moods: Sentimental Piano,2009,US,Album,Piano,2009.0,2000,,PianoSolo
497aa0f4-db24-4fe2-89f9-647ea19d0152,Serenity: Classical Piano,2002,Serenity: Classical Piano,2002,US,Album,Piano,2002.0,2000,,PianoSolo
f3410b55-03af-4160-ba8f-7c37c57bb641,The Classical Piano,2000,The Classical Piano,2000,US,Album,Piano,2000.0,2000,,PianoSolo
31b1658d-5722-4520-ba3f-a1399958a7a2,The Piano Guys 2,2013-02-11,The Piano Guys 2,2013-05-07,US,Album,Piano,2013.0,2010,,PianoSolo
ab4cdf88-5daf-47e5-bf76-4357a717d741,piano music,2018-10-31,piano music,2018-10-31,US,Album,Piano,2018.0,2010,,PianoSolo
92e6045d-caec-4d91-91fd-8071b8b32450,"Concerto for Piano and Orchestra, no. 9 in E-flat major, K. 217 / Concerto for Piano and Orchestra, no. 14 in E-flat major, K. 447",2004,"Concerto for Piano and Orchestra, no. 9 in E-flat major, K. 217 / Concerto for Piano and Orchestra, no. 14 in E-flat major, K. 447",2004,US,Album,Piano,2004.0,2000,,Hybrid
2e4579ec-f372-46c8-8786-f2937a6296b0,The Piano Guys,2012-10-02,The Piano Guys,2012-10-02,US,Album,Piano,2012.0,2010,,PianoSolo
46c73bd2-a7c2-42fe-b08d-35d566ab4829,Rhapsody in Blue / Second Rhapsody for Orchestra with Piano / Preludes / Unpublished Piano Works,1985-06-25,Rhapsodies,1985-06-25,US,Album,Piano,1985.0,1980,,Hybrid
48f66f98-b459-4222-938f-b7994b524271,"Concerto for Piano & Orchestra - Suite for Piano, Harp & Strings - Caribe",2001-08-20,"Concerto for Piano & Orchestra - Suite for Piano, Harp & Strings - Caribe",2001-08-20,US,Album,Piano,2001.0,2000,,Hybrid
d3d35a57-5ccf-4840-9433-2fd97ad03ba3,Celeste: Piano Collections,2019-01-25,Celeste: Piano Collections,2019-02,US,Album,Piano,2019.0,2010,,PianoSolo
578c5f4f-a641-48cd-b6b6-fbd5d14d1d66,Concert for Piano and Orchestra + Fontana Mix,2020-10-01,Concert for Piano and Orchestra + Fontana Mix,2020-10-01,US,Album,Piano,2020.0,2020,,Hybrid
1a5232ee-c887-3ef8-8fd6-b4d565829a1c,Symphony no. 5 / Elegy for Piano and String Orchestra,2007-04-24,Symphony no. 5 / Elegy for Piano and String Orchestra,2007,US,Album,Piano,2007.0,2000,,Hybrid
d16893ba-b9ff-3fcc-aaf8-d65967000eb7,Piano Concerto no. 2 / Variations on a Theme by Haydn for Orchestra,1989,Piano Concerto No. 2 / Variations on a Theme by Haydn for Orchestra,1989,US,Album,Piano,1989.0,1980,,Hybrid
166aa4d8-cdbc-40c1-9815-cd91b76e8c21,"The Music for Piano & Orchestra: Piano Concertos 1, 2 & 3 (original versions) / Concert Fantasy",2009-06-01,"The Music for Piano & Orchestra: Piano Concertos 1, 2 & 3 (original versions) / Concert Fantasy",2009,US,Album,Piano,2009.0,2000,,Hybrid
406948d5-fa37-47fd-85e4-bdb33645b9cd,Ravel: Concerto for Piano and Orchestra / Copland: Sonata for Piano / Bernstein: Seven Anniversaries,1955,Ravel: Concerto for Piano and Orchestra / Copland: Sonata for Piano / Bernstein: Seven Anniversaries,1955,US,Album,Piano,1955.0,1950,,Hybrid
0a025caf-8795-3a4b-ab27-907ccfd79992,Piano Concertos Nos. 1 & 2,1991,Piano Concertos Nos. 1 & 2,1992,US,Album,Piano,1992.0,1990,,PianoSolo
a9f3b7f1-c79c-468f-85f5-c4a379ce5413,"The Music of Satie: Works for Piano, Orchestra, Voice",1994,"The Music of Satie: Works for Piano, Orchestra, Voice",1994,US,Album,Piano,1994.0,1990,,Hybrid
ee9c0ba3-5474-3676-8f16-0caac0ed87a8,Grieg: Complete Solo Piano Music,2004,Grieg: Complete Solo Piano Music,2004,US,Album,Piano,2004.0,2000,,PianoSolo
924c0455-02f6-474e-91f0-4062971a1e22,Works for Piano Solo 7,2001,Works for Piano Solo 7,2001,US,Album,Piano,2001.0,2000,,PianoSolo
2de4e592-cc71-464a-821d-96bb091fbfef,"Tomasi: Concerto for Trumpet and Orchestra / Jolivet: Concerto no. 2 for Trumpet / Concertino for Trumpet, String Orchestra and Piano",1986-06-27,"Tomasi: Concerto for Trumpet and Orchestra / Jolivet: Concerto no. 2 for Trumpet / Jolivet: Concertino for Trumpet, String Orchestra and Piano",1986-06-27,US,Album,Piano,1986.0,1980,,Hybrid
bdc7242b-db38-40f2-8ba2-ea7151ff4d5e,Concerto for Piano & Orchestra / Elegy / Tournaments / Fantasia on an Ostinato,1996,Concerto for Piano & Orchestra / Elegy / Tournaments / Fantasia on an Ostinato,1996,US,Album,Piano,1996.0,1990,,Hybrid
57f81bd3-c486-4c60-ae48-c3b632865918,Piano Concertos,1992,Piano Concertos,1992,US,Album,Piano,1992.0,1990,,PianoSolo
d265b6d2-0b28-4cc0-a5bb-b40066a22bc2,"Bartók: Concerto no. 3 for Piano and Orchestra / Miaskovsky: Symphony no. 21 in F-sharp minor, op. 51",1949,"Bartók: Concerto no. 3 for Piano and Orchestra / Miaskovsky: Symphony no. 21 in F-sharp minor, op. 51",1949,US,Album,Piano,1949.0,1940,,Hybrid
77ce9831-9b7c-4228-af5c-fd13ed870043,"Piano Trio, Op. 1, No. 1 / Divertimento for Cello and Orchestra / Tema con Variazioni",1964,"Piano Trio, Op. 1, No. 1 / Divertimento for Cello and Orchestra / Tema con Variazioni",1964,US,Album,Piano,1964.0,1960,,Hybrid
183f3aa0-b0b9-4a34-ae6b-d096eeb17bf4,Britten: Scottish Balad / Martinů: Concerto for Two Pianos and Orchestra,1981,Britten: Scottish Balad / Martinů: Concerto for Two Pianos and Orchestra,1981,US,Album,Piano,1981.0,1980,,Orchestra
d2150dc0-2a1b-4d09-8107-4ed684c13efa,"Orchestral Works, Volume 14: Piano Concertos nos. 1 and 2",2000-05,"Orchestral Works, Volume 14: Piano Concertos nos. 1 and 2",2000-05,US,Album,Piano,2000.0,2000,,PianoSolo
461c6843-b065-38c0-a02a-fec6b2aee39f,Études-Tableaux op. 33 & op. 39,1996,Etudes-Tableaux op. 33 & op. 39,1996,US,Album,Piano,1996.0,1990,,Unknown
07da2b02-d892-3955-be72-1b52cca9b15a,Piano Concerto No. 1 / Isle of the Dead / Vocalise,1978,Piano Concerto No. 1 / Isle of the Dead / Vocalise,1978,US,Album,Piano,1978.0,1970,,Hybrid
c4ee62a2-8289-353b-b022-64919d886bc9,Rachmaninov: Sonata no. 2 / Balakirev: Islamey,2004,Rachmaninov: Sonata no. 2 / Balakirev: Islamey,2004,US,Album,Piano,2004.0,2000,,Unknown
54aff3d3-94c9-3ac9-9987-84c16bafa055,Fantaisie-Impromptu / Ballade no. 3 / Barcarolle / 2 Nocturnes / 2 Waltzes,1991,Fantaisie-Impromptu / Ballade no. 3 / Barcarolle / 2 Nocturnes / 2 Waltzes,1991,US,Album,Piano,1991.0,1990,,PianoSolo
fdfbabe9-92cc-3333-b15f-81a285aae1c0,"Piano Sonatas: No. 14 ""Moonlight"" / No. 21 ""Waldstein"" / No. 23 ""Appassionata""",1989,"Piano Sonatas: No. 14 ""Moonlight"" / No. 21 ""Waldstein"" / No. 23 ""Appassionata""",1991,US,Album,Piano,1991.0,1990,,PianoSolo
334b46bd-cfc3-30f5-a4f8-9278575aed7c,The Legendary Busoni Recordings,2000,The Legendary Busoni Recordings,2000,US,Album,Piano,2000.0,2000,,Unknown
41913b56-9e75-32ec-88c0-27f704a35e74,The Nocturnes,1978,The Nocturnes,1993,US,Album,Piano,1993.0,1990,,Unknown
4dd39d15-038b-3a9e-b5aa-9055e95be1e7,Ballade: The Piano Music of Grieg,1976,Ballade: The Piano Music of Grieg,1976,US,Album,Piano,1976.0,1970,,PianoSolo
9e01186e-a792-3f8c-baac-a543278aeba2,Piano Music of Louis Moreau Gottschalk,1975,Piano Music of Louis Moreau Gottschalk,1984,US,Album,Piano,1984.0,1980,,PianoSolo
9e01186e-a792-3f8c-baac-a543278aeba2,Piano Music of Louis Moreau Gottschalk,1975,Souvenir de Porto Rico,1993-05-11,US,Album,Piano,1993.0,1990,,PianoSolo
153219ac-f80f-32ff-86ff-313bf08df3aa,Alfred Brendel Plays Liszt,1996,Alfred Brendel Plays Liszt,1996,US,Album,Piano,1996.0,1990,,Unknown
762b8ae2-6091-324e-b0e9-4f47b91c924b,Glenn Gould Conducts & Plays Wagner,1990,Glenn Gould Conducts & Plays Wagner,1990,US,Album,Piano,1990.0,1990,,Unknown
de3529b7-b8ba-3c3d-bc95-99c7226bc45f,The 5 Piano Concertos,1999-03-08,The 5 Piano Concertos,1999-04-06,US,Album,Piano,1999.0,1990,,PianoSolo
e5f6db05-e367-49c4-8a5b-a8db1d55e029,"Concerto for Piano and Orchestra in C Major, Opus 11 / Clarinet Quintet in B Flat, Opus 34",1950,"Concerto for Piano and Orchestra in C Major, Opus 11 / Clarinet Quintet in B Flat, Opus 34",1950,US,Album,Piano,1950.0,1950,,Hybrid
f8784674-278c-47dd-a321-8802218f76e0,Piano Concerto,2019-03-01,Piano Concerto,2019-03-01,US,Album,Piano,2019.0,2010,,Hybrid
3d5da5f4-f9fb-4548-8384-6151e46a44a4,Britten’s Orchestra,2009-11,Britten’s Orchestra,2009-11,US,Album,Orchestra,2009.0,2000,,Orchestra
0768ba3f-c814-43df-8e50-c556258d4821,Piano Concertos,1997-11-25,Piano Concertos,1997-11-25,US,Album,Piano,1997.0,1990,,PianoSolo
458bd988-fdc6-4e42-96a1-2dabe8a8525f,Disney Goes Classical,2020-05-20,Disney Goes Classical,2020-05-20,US,Album,Unknown,2020.0,2020,,Unknown
8b529891-20e3-3dbb-8e85-f73f7b5fd4db,The Wings of a Film: The Music of Hans Zimmer,2001-06-19,The Wings of a Film: The Music of Hans Zimmer,2001-06-19,US,Album,Orchestra,2001.0,2000,,Unknown
610ca688-694f-361f-913e-c7835c4148c7,Piano Concertos,1990,Piano Concertos,2000-09-13,US,Album,Piano,2000.0,2000,,PianoSolo
6e2f0c46-0bf7-4f5a-b453-9a872a8762b9,Piano Concerto,1991,Piano Concerto,1991,US,Album,Piano,1991.0,1990,,Hybrid
083afba3-f695-4b8f-8017-0e1df848d99e,The Beatles Concerto / Six Beatles Impressions,1979,The Beatles Concerto / Six Beatles Impressions,1979,US,Album,Piano,1979.0,1970,,Orchestra
69c3d707-2616-4ea2-9446-76f44f996626,Concerto for Piano and Orchestral Memory,1984,Concerto for Piano and Orchestral Memory,1984,US,Album,Piano,1984.0,1980,,Hybrid
c5c3e90e-d7e4-46a9-96e7-07a7017ad3b0,Orchestral Works,2014,Orchestral Works,2014,US,Album,Orchestra,2014.0,2010,,Unknown
9ccc18a1-d9d8-4ef6-b6d6-b371509a6cf1,Piano,2000,Piano,2000,US,Album,Piano,2000.0,2000,,PianoSolo
a39438ec-12dc-46a2-83c4-735a1c666b1e,Concertos pour piano / Piano Concertos nos. 22 & 24,2020-01-31,Concertos pour Piano / Piano Concertos Nos. 22 & 24,2020-01-31,US,Album,Piano,2020.0,2020,,PianoSolo
d9628547-6759-4631-811f-a6fc80a6edb7,"Piano Concerto no. 12, K. 414 / Piano Concerto no. 14, K. 449",1986,"Piano Concerto no. 12, K. 414 / Piano Concerto no. 14, K. 449",1987,US,Album,Piano,1987.0,1980,,Hybrid
9e24ec8c-80bf-4dda-8897-b898cac7a717,Classical Piano: Music from the Ages,2000-07-05,Classical Piano: Music from the Ages,2000-07-05,US,Album,Piano,2000.0,2000,,PianoSolo
58167ed5-c7e4-3938-9930-ea60a76a7224,The Piano Concertos,2005-01-11,The Piano Concertos,2005-01-11,US,Album,Piano,2005.0,2000,,PianoSolo
ef8d1ce7-aa4a-4f1d-aea1-a95655851356,Classical & Jazz Piano,1991,Classical & Jazz Piano,1991,US,Album,Piano,1991.0,1990,,PianoSolo
1922c972-3b20-4f40-9a49-d1a740620c6f,Concerto for Orchestra,1994,Concerto for Orchestra,1994,US,Album,Orchestra,1994.0,1990,,Orchestra
93622797-aecf-4786-b4f2-4deddb4e7dbb,Minnesota Orchestra Showcase,2000,Minnesota Orchestra Showcase,2000,US,Album,Orchestra,2000.0,2000,,Orchestra
c93fb4fb-f65f-45de-8a9d-608a1a9eeacb,Music for Orchestra,2018-09-30,Music for Orchestra,2018-09-30,US,Album,Orchestra,2018.0,2010,,Orchestra
901eb115-6796-47a6-a56e-712a7f0d6b0b,Concerto for Orchestra,1982,Concerto for Orchestra,1982,US,Album,Orchestra,1982.0,1980,,Orchestra
7b903784-4b14-3b77-aa2b-35187d42da03,Concerto for Orchestra,1958,Concerto for Orchestra,1958,US,Album,Orchestra,1958.0,1950,,Orchestra
7b903784-4b14-3b77-aa2b-35187d42da03,Concerto for Orchestra,1958,Concerto For Orchestra • Divertimento,1991,US,Album,Orchestra,1991.0,1990,,Orchestra
1a5f5594-1d56-4826-af5f-ec47aa96446b,Opera for Orchestra,1996,Opera for Orchestra,1996,US,Album,Orchestra,1996.0,1990,,Orchestra
06298e8a-8df2-429b-ac10-afbe3cfaf6a3,Works for Orchestra,2016-03-11,Works for Orchestra,2016-03-11,US,Album,Orchestra,2016.0,2010,,Orchestra
e226dfeb-0d13-36a0-b4dd-8271e24d694e,The American Orchestra,1988,The American Orchestra,1988,US,Album,Orchestra,1988.0,1980,,Orchestra
a2aa6de4-1702-3f12-bd43-0c8c1799a7b4,The Time-Life Library of Classical Favorites: Orchestral Blockbusters,1993,The Time-Life Library of Classical Favorites: Orchestral Blockbusters,1993,US,Album,Orchestra,1993.0,1990,,Unknown
a1f1f0a8-ddf0-35cf-8e04-1fde519c7fa5,Piano Concerto no. 1 / Six Piano Pieces,1998,Piano Concerto No. 1 / 6 Piano Pieces,2000,US,Album,Piano,2000.0,2000,,Hybrid
33585af9-8f08-35b0-ae15-dd50e906e1da,Cello Concerto / Piano Concerto,2001-06-12,Cello Concerto / Piano Concerto,2001-06-12,US,Album,Piano,2001.0,2000,,Hybrid
fda6e6ea-74f7-4417-9729-19971943e9a6,Klaviersonaten,1991,Klaviersonaten,1991,US,Album,Piano,1991.0,1990,,Unknown
324da437-f2e8-44f3-a61c-1a6365846703,Piano: The Most Beautiful Melodies,2003,Piano: The Most Beautiful Melodies,2003,US,Album,Piano,2003.0,2000,,PianoSolo
064d89cd-be95-47ff-8f45-09b40e5c1f59,Piano Concerto No. 1,1988,Piano Concerto No. 1,1988,US,Album,Piano,1988.0,1980,,Hybrid
783fd742-1bdd-49c8-9d76-766a81aab176,Piano Concerto No. 1,2006,Piano Concerto No. 1,2006,US,Album,Piano,2006.0,2000,,Hybrid
67569c26-7d45-495b-83a8-5b9a7732ca1b,Piano Concerto no. 2,1960,Piano Concerto no. 2,1960,US,Album,Piano,1960.0,1960,,Hybrid
c40cd6a5-2d8d-4f61-bef2-b1134c142586,Piano Concertos,1991-08-19,Piano Concertos,1991-08-19,US,Album,Piano,1991.0,1990,,PianoSolo
8e1eea12-3984-4fb2-a421-6aff4e46a609,Asphalt Orchestra,2010-08-03,Asphalt Orchestra,2010-08-03,US,Album,Orchestra,2010.0,2010,,Orchestra
c16ca043-b9d8-4899-8f77-592f6d620b12,Classical Favorites Sampler,2010-02-02,Classical Favorites Sampler,2010-02-02,US,Album,Unknown,2010.0,2010,,Unknown
200c47d1-6320-3976-b437-5ae8ff0e57ba,Piano Concertos nos. 1 & 2,1975,Piano Concertos nos. 1 & 2,1975,US,Album,Piano,1975.0,1970,,PianoSolo
e6bbdee9-4011-37b9-aad3-ba149e865ac8,The Complete Works for Solo Piano,1996,The Complete Works for Solo Piano,1996,US,Album,Piano,1996.0,1990,,PianoSolo
d0734d26-96fe-4998-be23-8e5891f53b0b,Piano Concerto no. 2,1986,Piano Concerto no. 2,1986,US,Album,Piano,1986.0,1980,,Hybrid
46501729-b127-3cf9-b3b3-98d870f6c07f,"London Symphony Orchestra, Vol. I & II",1995-04-18,"London Symphony Orchestra, Vol. I & II",1995-04-18,US,Album,Orchestra,1995.0,1990,,Orchestra
2dcdff30-f6f0-372e-9708-83bf47249471,Piano Concerto no. 3,1993,Piano Concerto no. 3,1993,US,Album,Piano,1993.0,1990,,Hybrid
abf1ac24-c07a-4eae-91f2-adb102ded1c2,Classically Cool Piano,2000,Classically Cool Piano,2000,US,Album,Piano,2000.0,2000,,PianoSolo
f35619d7-ae69-4a76-8568-fc898cbc3b0e,Piano Concerto no. 20 / Piano Concerto no. 27,1987,Piano Concerto no. 20 / Piano Concerto no. 27,1987,US,Album,Piano,1987.0,1980,,Hybrid
